,name,display_name
0,btaurus_gene_ensembl,Cow genes (ARS-UCD1.2)
1,dclupeoides_gene_ensembl,Denticle herring genes (fDenClu1.1)
2,mspicilegus_gene_ensembl,Steppe mouse genes (MUSP714)
3,eelectricus_gene_ensembl,Electric eel genes (Ee_SOAP_WITH_SSPACE)
4,nnaja_gene_ensembl,Indian cobra genes (Nana_v5)
5,gaculeatus_gene_ensembl,Stickleback genes (BROAD S1)
6,preticulata_gene_ensembl,Guppy genes (Guppy_female_1.0_MT)
7,ptaltaica_gene_ensembl,Tiger genes (PanTig1.0)
8,charengus_gene_ensembl,Atlantic herring genes (Ch_v2.0.2)
9,pcinereus_gene_ensembl,Koala genes (phaCin_unsw_v4.1)
10,mcaroli_gene_ensembl,Ryukyu mouse genes (CAROLI_EIJ_v1.1)
11,catys_gene_ensembl,Sooty mangabey genes (Caty_1.0)
12,ccarpio_gene_ensembl,Common carp genes (common_carp_genome)
13,pcoquereli_gene_ensembl,Coquerel's sifaka genes (Pcoq_1.0)
14,eaasinus_gene_ensembl,Donkey genes (ASM303372v1)
15,mfascicularis_gene_ensembl,Crab-eating macaque genes (Macaca_fascicularis_6.0)
16,nfurzeri_gene_ensembl,Turquoise killifish genes (Nfu_20140520)
17,lchalumnae_gene_ensembl,Coelacanth genes (LatCha1)
18,cjaponica_gene_ensembl,Japanese quail genes (Coturnix_japonica_2.0)
19,ccapucinus_gene_ensembl,Capuchin genes (Cebus_imitator-1.0)
20,pleo_gene_ensembl,Lion genes (PanLeo1.0)
21,aplatyrhynchos_gene_ensembl,Mallard genes (ASM874695v1)
22,omykiss_gene_ensembl,Rainbow trout genes (Omyk_1.0)
23,spartitus_gene_ensembl,Bicolor damselfish genes (Stegastes_partitus-1.0.2)
24,nscutatus_gene_ensembl,Mainland tiger snake genes (TS10Xv2-PRI)
25,scanaria_gene_ensembl,Common canary genes (SCA1)
26,ppaniscus_gene_ensembl,Bonobo genes (panpan1.1)
