,position,variable,density
0,853,exon,0.0
1,854,exon,0.0
2,855,exon,0.0
3,856,exon,0.0
4,857,exon,0.0
5,858,exon,0.0
6,859,exon,0.0
7,860,exon,0.0
8,861,exon,0.0
9,862,exon,0.0
10,863,exon,0.0
11,864,exon,0.0
12,865,exon,0.0
13,866,exon,0.0
14,867,exon,0.0
15,868,exon,0.0
16,869,exon,0.0
17,870,exon,0.0
18,871,exon,0.0
19,872,exon,0.0
20,873,exon,0.0
21,874,exon,0.0
22,875,exon,0.0
23,876,exon,0.0
24,877,exon,0.0
25,878,exon,0.0
26,879,exon,0.0
27,880,exon,0.0
28,881,exon,0.0
29,882,exon,0.0
30,883,exon,0.0
31,884,exon,0.0
32,885,exon,0.0
33,886,exon,0.0
34,887,exon,0.0
35,888,exon,0.0
36,889,exon,0.0
37,890,exon,0.0
38,891,exon,0.0
39,892,exon,0.0
40,893,exon,0.0
41,894,exon,0.0
42,895,exon,0.0
43,896,exon,0.0
44,897,exon,0.0
45,898,exon,0.0
46,899,exon,0.0
47,900,exon,0.0
48,901,exon,0.0
49,902,exon,0.0
50,903,exon,0.0
51,904,exon,0.0
52,905,exon,0.0
53,906,exon,0.0
54,907,exon,0.0
55,908,exon,0.0
56,909,exon,0.0
57,910,exon,0.0
58,911,exon,0.0
59,912,exon,0.0
60,913,exon,0.0
61,914,exon,0.0
62,915,exon,0.0
63,916,exon,0.0
64,917,exon,0.0
65,918,exon,0.0
66,919,exon,0.0
67,920,exon,0.0
68,921,exon,0.0
69,922,exon,0.0
70,923,exon,0.0
71,924,exon,0.0
72,925,exon,0.0
73,926,exon,0.0
74,927,exon,0.1702127659574468
75,928,exon,0.18518518518518517
76,929,exon,0.41114982578397213
77,930,exon,0.47680412371134023
78,931,exon,0.4969450101832994
79,932,exon,0.5008319467554077
80,933,exon,0.5105189340813464
81,934,exon,0.5192307692307693
82,935,exon,0.5329842931937173
83,936,exon,0.5433579335793358
84,937,exon,0.5395273023634882
85,938,exon,0.5325144508670521
86,939,exon,0.5344938749194068
87,940,exon,0.5363741339491916
88,941,exon,0.5428126621691749
89,942,exon,0.5437939110070258
90,943,exon,0.545031712473573
91,944,exon,0.5509578544061303
92,945,exon,0.5555555555555556
93,946,exon,0.5600762873490146
94,947,exon,0.567646203084085
95,948,exon,0.5699440447641887
96,949,exon,0.5726516634050881
97,950,exon,0.5782481423102904
98,951,exon,0.5783132530120482
99,952,exon,0.5794123295563665
100,953,exon,0.5764852365706155
101,954,exon,0.5773858579198945
102,955,exon,0.5806896551724138
103,956,exon,0.5856306241965433
104,957,exon,0.5888785171356181
105,958,exon,0.5901209928901086
106,959,exon,0.5919083255378859
107,960,exon,0.5940246045694201
108,961,exon,0.5965220991615775
109,962,exon,0.5974799765579215
110,963,exon,0.5991319604764983
111,964,exon,0.599405490470362
112,965,exon,0.5990882718607542
113,966,exon,0.6007715320421981
114,967,exon,0.6010486891385768
115,968,exon,0.6029002071576541
116,969,exon,0.6043401119148355
117,970,exon,0.6051841211804648
118,971,exon,0.6062179406981109
119,972,exon,0.6084138510472303
120,973,exon,0.6096154954747218
121,974,exon,0.6106336973997893
122,975,exon,0.6118319184152918
123,976,exon,0.6124749112243323
124,977,exon,0.6132810561318179
125,978,exon,0.6138922155688623
126,979,exon,0.6149039574172646
127,980,exon,0.61609380594343
128,981,exon,0.6159075164530655
129,982,exon,0.6161197032566327
130,983,exon,0.616046776027286
131,984,exon,0.616317053012712
132,985,exon,0.6168791510802352
133,986,exon,0.617638343581006
134,987,exon,0.6179019671305787
135,988,exon,0.618061135371179
136,989,exon,0.618958729296769
137,990,exon,0.6189470906452038
138,991,exon,0.6194233298053177
139,992,exon,0.6198140869673716
140,993,exon,0.6199739022243802
141,994,exon,0.6204045474678872
142,995,exon,0.6208780151223299
143,996,exon,0.6201702318288722
144,997,exon,0.6210687106189138
145,998,exon,0.6216927699630388
146,999,exon,0.621949638235523
147,1000,exon,0.6215457030063771
148,1001,exon,0.6221678649964174
149,1002,exon,0.6222458189540748
150,1003,exon,0.6227069087479368
151,1004,exon,0.6232054384145639
152,1005,exon,0.6236484051180393
153,1006,exon,0.6233811998942824
154,1007,exon,0.6241626639670881
155,1008,exon,0.6249262412543202
156,1009,exon,0.6252191670620268
157,1010,exon,0.6262473235567406
158,1011,exon,0.6265360641139804
159,1012,exon,0.6265927118282489
160,1013,exon,0.6265756602087571
161,1014,exon,0.6264449250503393
162,1015,exon,0.6267944333705173
163,1016,exon,0.6272518481303381
164,1017,exon,0.627676810369118
165,1018,exon,0.6277903619041032
166,1019,exon,0.6282007742987163
167,1020,exon,0.6286715036277208
168,1021,exon,0.628929168442099
169,1022,exon,0.6294196291941173
170,1023,exon,0.6297252355689287
171,1024,exon,0.6295806014545794
172,1025,exon,0.6300364616845912
173,1026,exon,0.6299461855017411
174,1027,exon,0.6298845800077144
175,1028,exon,0.6301515903846715
176,1029,exon,0.6304869807766962
177,1030,exon,0.6304350904019596
178,1031,exon,0.6305484667196586
179,1032,exon,0.6310336772970225
180,1033,exon,0.6311791705593242
181,1034,exon,0.630889947555947
182,1035,exon,0.6312687470399411
183,1036,exon,0.6313529640679725
184,1037,exon,0.6313944712368721
185,1038,exon,0.6313525107241988
186,1039,exon,0.6314145248615346
187,1040,exon,0.631591874831135
188,1041,exon,0.6318449567304196
189,1042,exon,0.632028520840312
