,position,variable,density
0,853,exon,0.0
1,854,exon,0.0
2,855,exon,0.0
3,856,exon,0.0
4,857,exon,0.0
5,858,exon,0.0
6,859,exon,0.0
7,860,exon,0.0
8,861,exon,0.0
9,862,exon,0.0
10,863,exon,0.0
11,864,exon,0.0
12,865,exon,0.0
13,866,exon,0.0
14,867,exon,0.0
15,868,exon,0.0
16,869,exon,0.0
17,870,exon,0.0
18,871,exon,0.0
19,872,exon,0.0
20,873,exon,0.0
21,874,exon,0.0
22,875,exon,0.0
23,876,exon,0.0
24,877,exon,0.0
25,878,exon,0.0
26,879,exon,0.0
27,880,exon,0.0
28,881,exon,0.0
29,882,exon,0.0
30,883,exon,0.0
31,884,exon,0.0
32,885,exon,0.0
33,886,exon,0.0
34,887,exon,0.0
35,888,exon,0.0
36,889,exon,0.0
37,890,exon,0.0
38,891,exon,0.0
39,892,exon,0.0
40,893,exon,0.0
41,894,exon,0.0
42,895,exon,0.0
43,896,exon,0.0
44,897,exon,0.0
45,898,exon,0.0
46,899,exon,0.0
47,900,exon,0.0
48,901,exon,0.0
49,902,exon,0.0
50,903,exon,0.0
51,904,exon,0.0
52,905,exon,0.0
53,906,exon,0.0
54,907,exon,0.0
55,908,exon,0.0
56,909,exon,0.0
57,910,exon,0.0
58,911,exon,0.0
59,912,exon,0.0
60,913,exon,0.0
61,914,exon,0.0
62,915,exon,0.0
63,916,exon,0.0
64,917,exon,0.0
65,918,exon,0.0
66,919,exon,0.0
67,920,exon,0.0
68,921,exon,0.0
69,922,exon,0.0
70,923,exon,0.0
71,924,exon,0.0
72,925,exon,0.0
73,926,exon,0.0
74,927,exon,0.00015986394557823127
75,928,exon,0.0003214285714285714
76,929,exon,0.0004880952380952381
77,930,exon,0.0006598639455782312
78,931,exon,0.0008350340136054422
79,932,exon,0.001022108843537415
80,933,exon,0.0012125850340136055
81,934,exon,0.0014149659863945576
82,935,exon,0.0016241496598639455
83,936,exon,0.0018435374149659864
84,937,exon,0.0020867346938775507
85,938,exon,0.002353741496598639
86,939,exon,0.002637755102040816
87,940,exon,0.0029455782312925167
88,941,exon,0.0032772108843537417
89,942,exon,0.003630952380952381
90,943,exon,0.004022108843537415
91,944,exon,0.004438775510204081
92,945,exon,0.00488265306122449
93,946,exon,0.005350340136054422
94,947,exon,0.005845238095238095
95,948,exon,0.00638265306122449
96,949,exon,0.006952380952380954
97,950,exon,0.007552721088435373
98,951,exon,0.008187074829931973
99,952,exon,0.008855442176870747
100,953,exon,0.00956122448979592
101,954,exon,0.010318027210884352
102,955,exon,0.011096938775510204
103,956,exon,0.011906462585034014
104,957,exon,0.012753401360544217
105,958,exon,0.013634353741496599
106,959,exon,0.01454421768707483
107,960,exon,0.015482993197278912
108,961,exon,0.016430272108843538
109,962,exon,0.017411564625850338
110,963,exon,0.018416666666666665
111,964,exon,0.019452380952380954
112,965,exon,0.0205187074829932
113,966,exon,0.021602040816326534
114,967,exon,0.02270408163265306
115,968,exon,0.023807823129251702
116,969,exon,0.024921768707482993
117,970,exon,0.026047619047619052
118,971,exon,0.027187074829931972
119,972,exon,0.028338435374149658
120,973,exon,0.029501700680272108
121,974,exon,0.03067517006802721
122,975,exon,0.031852040816326525
123,976,exon,0.033045918367346945
124,977,exon,0.03426700680272109
125,978,exon,0.03550170068027211
126,979,exon,0.036743197278911566
127,980,exon,0.038
128,981,exon,0.03927891156462585
129,982,exon,0.04057653061224489
130,983,exon,0.0418843537414966
131,984,exon,0.0432125850340136
132,985,exon,0.04455442176870748
133,986,exon,0.045914965986394565
134,987,exon,0.047290816326530614
135,988,exon,0.048681972789115645
136,989,exon,0.05010884353741496
137,990,exon,0.0515578231292517
138,991,exon,0.05302551020408163
139,992,exon,0.05452040816326531
140,993,exon,0.056042517006802725
141,994,exon,0.057593537414965985
142,995,exon,0.0591547619047619
143,996,exon,0.060741496598639456
144,997,exon,0.06234863945578231
145,998,exon,0.06395748299319728
146,999,exon,0.06557993197278911
147,1000,exon,0.06720408163265307
148,1001,exon,0.06883163265306123
149,1002,exon,0.07047108843537415
150,1003,exon,0.07212585034013605
151,1004,exon,0.07380102040816325
152,1005,exon,0.07549659863945578
153,1006,exon,0.07721768707482993
154,1007,exon,0.07895748299319728
155,1008,exon,0.08070068027210883
156,1009,exon,0.08244727891156461
157,1010,exon,0.08419387755102042
158,1011,exon,0.08594387755102043
159,1012,exon,0.0876921768707483
160,1013,exon,0.08945068027210884
161,1014,exon,0.09121768707482994
162,1015,exon,0.09299829931972789
163,1016,exon,0.09478231292517006
164,1017,exon,0.09657142857142856
165,1018,exon,0.09835544217687076
166,1019,exon,0.10015646258503401
167,1020,exon,0.10196428571428572
168,1021,exon,0.10377210884353741
169,1022,exon,0.10557993197278913
170,1023,exon,0.10738945578231292
171,1024,exon,0.10920238095238095
172,1025,exon,0.11101020408163265
173,1026,exon,0.11282142857142857
174,1027,exon,0.1146360544217687
175,1028,exon,0.11645238095238093
176,1029,exon,0.11828401360544219
177,1030,exon,0.12011734693877552
178,1031,exon,0.12195408163265305
179,1032,exon,0.12377380952380952
180,1033,exon,0.12560714285714286
181,1034,exon,0.12744387755102043
182,1035,exon,0.1292721088435374
183,1036,exon,0.13110544217687076
184,1037,exon,0.13294727891156463
185,1038,exon,0.13479591836734692
186,1039,exon,0.13664115646258507
187,1040,exon,0.1384795918367347
188,1041,exon,0.14031632653061227
